"","subject","type","item","condition","question","correct_answer","response","rt","group","ambiguity","trimmed_rt"
"4383","Native 25","gap",16,"b","0","-","-",5348,"Native","Unambiguous",5348
"4386","Native 25","gap",17,"a","0","-","-",3083,"Native","Ambiguous",3083
"4404","Native 25","gap",13,"a","0","-","-",4071,"Native","Ambiguous",4071
"4419","Native 25","gap",22,"b","0","-","-",4023,"Native","Unambiguous",4023
"4430","Native 25","gap",18,"b","0","-","-",4164,"Native","Unambiguous",4164
"4439","Native 25","gap",21,"a","0","-","-",3566,"Native","Ambiguous",3566
"4442","Native 25","gap",23,"a","0","-","-",4771,"Native","Ambiguous",4771
"4456","Native 25","gap",15,"a","0","-","-",2750,"Native","Ambiguous",2750
"4467","Native 25","gap",19,"a","0","-","-",7842,"Native","Ambiguous",7842
"4475","Native 25","gap",14,"b","0","-","-",5542,"Native","Unambiguous",5542
"4490","Native 25","gap",20,"b","0","-","-",2680,"Native","Unambiguous",2680
"4533","Native 26","gap",19,"b","0","-","-",5810,"Native","Unambiguous",5810
"4536","Native 26","gap",15,"b","0","-","-",8853,"Native","Unambiguous",8853
"4554","Native 26","gap",21,"b","0","-","-",6284,"Native","Unambiguous",6284
"4569","Native 26","gap",17,"b","0","-","-",5895,"Native","Unambiguous",5895
"4582","Native 26","gap",14,"a","0","-","-",4057,"Native","Ambiguous",4057
"4600","Native 26","gap",13,"b","0","-","-",8456,"Native","Unambiguous",8456
"4606","Native 26","gap",22,"a","0","-","-",8146,"Native","Ambiguous",8146
"4609","Native 26","gap",20,"a","0","-","-",2536,"Native","Ambiguous",2536
"4635","Native 26","gap",16,"a","0","-","-",8652,"Native","Ambiguous",8652
"4642","Native 26","gap",18,"a","0","-","-",5464,"Native","Ambiguous",5464
"4659","Native 26","gap",24,"a","0","-","-",5697,"Native","Ambiguous",5697
"4663","Native 26","gap",23,"b","0","-","-",5727,"Native","Unambiguous",5727
"4718","Native 27","gap",20,"b","0","-","-",8599,"Native","Unambiguous",8599
"4728","Native 27","gap",19,"a","0","-","-",2113,"Native","Ambiguous",2113
"4736","Native 27","gap",24,"b","0","-","-",6167,"Native","Unambiguous",6167
"4765","Native 27","gap",17,"a","0","-","-",8611,"Native","Ambiguous",8611
"4769","Native 27","gap",23,"a","0","-","-",6358,"Native","Ambiguous",6358
"4776","Native 27","gap",14,"b","0","-","-",2675,"Native","Unambiguous",2675
"4802","Native 27","gap",22,"b","0","-","-",7235,"Native","Unambiguous",7235
"4808","Native 27","gap",18,"b","0","-","-",4780,"Native","Unambiguous",4780
"4818","Native 27","gap",16,"b","0","-","-",5710,"Native","Unambiguous",5710
"4832","Native 27","gap",15,"a","0","-","-",3089,"Native","Ambiguous",3089
"4839","Native 27","gap",13,"a","0","-","-",3862,"Native","Ambiguous",3862
"4846","Native 27","gap",21,"a","0","-","-",8519,"Native","Ambiguous",8519
"4874","Native 28","gap",24,"a","0","-","-",3365,"Native","Ambiguous",3365
"4878","Native 28","gap",15,"b","0","-","-",6383,"Native","Unambiguous",6383
"4892","Native 28","gap",20,"a","0","-","-",4712,"Native","Ambiguous",4712
"4925","Native 28","gap",18,"a","0","-","-",5868,"Native","Ambiguous",5868
"4931","Native 28","gap",14,"a","0","-","-",4212,"Native","Ambiguous",4212
"4935","Native 28","gap",17,"b","0","-","-",7526,"Native","Unambiguous",7526
"4946","Native 28","gap",13,"b","0","-","-",7689,"Native","Unambiguous",7689
"4953","Native 28","gap",21,"b","0","-","-",3499,"Native","Unambiguous",3499
"4966","Native 28","gap",19,"b","0","-","-",6642,"Native","Unambiguous",6642
"5003","Native 28","gap",23,"b","0","-","-",3425,"Native","Unambiguous",3425
"5019","Native 28","gap",16,"a","0","-","-",3910,"Native","Ambiguous",3910
"5026","Native 28","gap",22,"a","0","-","-",6881,"Native","Ambiguous",6881
"5084","Native 29","gap",17,"a","0","-","-",4249,"Native","Ambiguous",4249
"5087","Native 29","gap",22,"b","0","-","-",8290,"Native","Unambiguous",8290
"5095","Native 29","gap",18,"b","0","-","-",5243,"Native","Unambiguous",5243
"5109","Native 29","gap",15,"a","0","-","-",6450,"Native","Ambiguous",6450
"5115","Native 29","gap",24,"b","0","-","-",8819,"Native","Unambiguous",8819
"5121","Native 29","gap",20,"b","0","-","-",4805,"Native","Unambiguous",4805
"5128","Native 29","gap",23,"a","0","-","-",3919,"Native","Ambiguous",3919
"5145","Native 29","gap",16,"b","0","-","-",6584,"Native","Unambiguous",6584
"5150","Native 29","gap",14,"b","0","-","-",5484,"Native","Unambiguous",5484
"5171","Native 29","gap",19,"a","0","-","-",9439,"Native","Ambiguous",9439
"5179","Native 29","gap",13,"a","0","-","-",4988,"Native","Ambiguous",4988
"5191","Native 29","gap",21,"a","0","-","-",5055,"Native","Ambiguous",5055
